ORIGIN_STATE,DEST_STATE,DISTANCE,ORIGIN_LAT,ORIGIN_LNG,DEST_LAT,DEST_LNG
CA,ID,841.68243,35.01054567022538,-118.84951364175564,43.69163701067616,-115.75259786476869
CA,IL,2010.3071,33.84175420168067,-118.08160084033614,41.40662184873949,-88.33809663865547
CA,IN,2110.0725,34.23299047619048,-118.37796190476192,40.08343619047619,-86.16565714285714
CA,KS,1491.7822,34.12065953654189,-118.19943404634583,38.20241532976827,-96.26365418894831
CA,KY,2089.4968,34.285578831312016,-118.46546857772877,37.64847850055126,-86.1450275633958
CA,LA,1806.7969,34.14074294205052,-118.34007429420504,30.480475482912333,-91.63930163447252
CA,MA,2987.591,33.634139492753626,-117.98967391304349,42.19482789855073,-71.36098731884059
CA,MB,2054.5757,33.599375,-117.99971590909091,49.880114772727275,-97.33655103857954
CA,MD,2655.2014,33.504648967551624,-117.79812979351033,39.26598820058997,-76.86410619469027
CA,ME,3149.2974,34.602345679012345,-118.60358024691357,44.351604938271606,-69.76604938271605
CA,MI,2258.226,34.03765225476523,-118.25377033937703,42.4208740120874,-84.17306834030683
CA,MN,1942.4225,33.88265917602996,-117.92734082397003,44.95700842696629,-93.37990168539326
CA,MO,1770.2477,33.89791079812207,-118.06761032863851,38.59687793427231,-91.52998122065728
CA,MS,1892.7499,34.15555096418733,-118.27752066115701,32.430247933884296,-89.89077134986225
CA,MT,1219.1161,34.437107843137255,-118.36573529411766,46.53014705882353,-110.85995098039216
CA,NB,3393.7368,33.822105263157894,-118.23157894736842,46.196919710526316,-65.75889345789473
CA,NC,2478.2832,34.21220978441128,-118.38946102819237,35.36376865671642,-80.15281094527363
CA,ND,1784.9633,33.92061728395062,-118.05944444444445,47.02240740740741,-97.99425925925925
CA,NE,1509.3295,33.96231534090909,-118.08573863636364,40.999857954545455,-96.53224431818181
CA,NH,3051.1575,34.16225680933852,-118.36389105058366,43.036770428015565,-71.24992217898833
CA,NJ,2763.0354,33.529880815071124,-117.84577085736254,40.272341407151096,-74.65974625144176
CA,NL,4329.6313,33.687200000000004,-118.09,47.747576876000004,-53.498961351999995
CA,NM,821.44434,34.38112185686654,-118.398916827853,34.849806576402315,-106.53129593810445
CA,NS,3261.8042,33.67395348837209,-117.98523255813953,45.331108165,-63.381885370581394
CA,NT,2689.8,33.81,-118.22,62.440341,-114.41747
CA,NV,336.17792,35.70771888310459,-119.66171793658306,38.32340037860861,-117.66164931377189
CA,NY,2776.8748,33.89916013154566,-118.19466481153555,41.97562104730584,-74.77026815077157
CA,OH,2291.8296,33.67898560503824,-117.95712550607287,40.4542825011246,-82.88450967161492
CA,OK,1416.8911,33.77211083437111,-118.07904109589042,34.86803860523039,-96.93400373599005
CA,ON,2522.0505,33.48827737940026,-117.89930084745762,43.83022632128096,-79.42458707039114
CA,OR,863.8895,34.99341761363637,-118.82426420454544,45.02883806818182,-122.18160795454546
CA,PA,2674.5884,34.354345762711866,-118.62266440677966,40.52184858757062,-76.6384836158192
CA,PE,3576.8167,33.81,-118.21999999999998,46.414563421666664,-63.135515590000004
CA,QC,2766.7048,33.44361935483871,-117.85373548387098,45.82670231796774,-73.21617569387097
CA,RI,2999.6348,34.499782608695654,-118.56326086956521,41.75804347826087,-71.47630434782609
CA,SC,2418.727,34.15305124223603,-118.16152173913044,34.05623447204969,-80.91330745341615
CA,SD,1611.6798,34.1579781420765,-118.12196721311476,43.99928961748634,-98.43071038251367
CA,SK,1798.3127,33.79670212765958,-118.20712765957447,51.64726988223404,-105.91189862872339
CA,TN,2220.8525,35.170697271546125,-119.45985275010827,35.73661758336943,-84.9968557817237
CA,TX,1436.4833,33.969710328519554,-118.16920192551305,31.705668440165528,-97.11159445992736
CA,UT,688.77734,34.505740244265716,-118.34033363121834,40.42644623175455,-112.17795948763778
CA,VA,2594.4739,33.81505479067154,-118.10270581624053,37.8049592582186,-78.06706378196122
CA,VT,2908.8528,33.82961538461539,-118.20384615384616,44.11653846153846,-72.92115384615384
CA,WA,1117.9734,34.392476295479604,-118.37752260198455,47.399929437706724,-121.96670341786108
CA,WI,2024.8113,34.34827235332323,-118.1950790214332,44.244572418272355,-90.04327343580862
